condition_id,scene_id,inflation_mm,engine,threshold_category_mm,direction_count
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,44,2
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,46,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,48,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,50,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,52,3
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,54,2
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,56,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,58,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,60,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,physx,>60,93
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,2,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,4,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,6,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,8,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,10,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,12,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,14,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,16,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,18,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,20,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,22,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,24,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,26,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,28,2
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,30,4
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,32,3
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,34,3
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,36,2
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,38,4
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,40,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,42,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,44,4
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,46,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,48,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,50,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,52,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,54,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,56,3
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,58,0
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,60,1
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,curobo,>60,96
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,2,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,4,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,6,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,8,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,10,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,physx,12,0
