condition_id,scene_id,inflation_mm,budget_mm,direction_count,physx_collisions,physx_collision_rate,physx_safe_retention_rate,curobo_collisions,curobo_collision_rate
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,38,128,20,0.15625,0.84375,18,0.140625
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,40,128,21,0.1640625,0.8359375,19,0.1484375
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,42,128,23,0.1796875,0.8203125,20,0.15625
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,44,128,25,0.1953125,0.8046875,24,0.1875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,46,128,26,0.203125,0.796875,25,0.1953125
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,48,128,27,0.2109375,0.7890625,26,0.203125
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,50,128,28,0.21875,0.78125,27,0.2109375
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,52,128,31,0.2421875,0.7578125,28,0.21875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,54,128,33,0.2578125,0.7421875,28,0.21875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,56,128,34,0.265625,0.734375,31,0.2421875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,58,128,34,0.265625,0.734375,31,0.2421875
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,60,128,35,0.2734375,0.7265625,32,0.25
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,2,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,4,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,6,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,8,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,10,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,12,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,14,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,16,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,18,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,20,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,22,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,24,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,26,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,28,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,30,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,32,128,2,0.015625,0.984375,0,0.0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,34,128,6,0.046875,0.953125,2,0.015625
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,36,128,8,0.0625,0.9375,6,0.046875
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,38,128,11,0.0859375,0.9140625,7,0.0546875
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,40,128,13,0.1015625,0.8984375,10,0.078125
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,42,128,15,0.1171875,0.8828125,14,0.109375
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,44,128,17,0.1328125,0.8671875,15,0.1171875
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,46,128,20,0.15625,0.84375,18,0.140625
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,48,128,21,0.1640625,0.8359375,18,0.140625
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,50,128,22,0.171875,0.828125,19,0.1484375
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,52,128,25,0.1953125,0.8046875,22,0.171875
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,54,128,26,0.203125,0.796875,25,0.1953125
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,56,128,26,0.203125,0.796875,25,0.1953125
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,58,128,27,0.2109375,0.7890625,26,0.203125
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,60,128,29,0.2265625,0.7734375,27,0.2109375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,2,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,4,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,6,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,8,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,10,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,12,128,5,0.0390625,0.9609375,4,0.03125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,14,128,13,0.1015625,0.8984375,11,0.0859375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,16,128,20,0.15625,0.84375,18,0.140625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,18,128,24,0.1875,0.8125,23,0.1796875
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,20,128,28,0.21875,0.78125,26,0.203125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,22,128,32,0.25,0.75,30,0.234375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,24,128,33,0.2578125,0.7421875,33,0.2578125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,26,128,34,0.265625,0.734375,33,0.2578125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,28,128,36,0.28125,0.71875,34,0.265625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,30,128,40,0.3125,0.6875,37,0.2890625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,32,128,41,0.3203125,0.6796875,41,0.3203125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,34,128,41,0.3203125,0.6796875,41,0.3203125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,36,128,41,0.3203125,0.6796875,41,0.3203125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,38,128,43,0.3359375,0.6640625,42,0.328125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,40,128,44,0.34375,0.65625,43,0.3359375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,42,128,44,0.34375,0.65625,43,0.3359375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,44,128,44,0.34375,0.65625,44,0.34375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,46,128,44,0.34375,0.65625,44,0.34375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,48,128,47,0.3671875,0.6328125,45,0.3515625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,50,128,47,0.3671875,0.6328125,45,0.3515625
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,52,128,48,0.375,0.625,46,0.359375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,54,128,49,0.3828125,0.6171875,48,0.375
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,56,128,49,0.3828125,0.6171875,49,0.3828125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,58,128,50,0.390625,0.609375,49,0.3828125
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,60,128,50,0.390625,0.609375,49,0.3828125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,2,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,4,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,6,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,8,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,10,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,12,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,14,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,16,128,3,0.0234375,0.9765625,2,0.015625
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,18,128,8,0.0625,0.9375,7,0.0546875
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,20,128,13,0.1015625,0.8984375,12,0.09375
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,22,128,19,0.1484375,0.8515625,17,0.1328125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,24,128,21,0.1640625,0.8359375,20,0.15625
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,26,128,24,0.1875,0.8125,24,0.1875
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,28,128,28,0.21875,0.78125,25,0.1953125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,30,128,30,0.234375,0.765625,29,0.2265625
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,32,128,32,0.25,0.75,31,0.2421875
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,34,128,33,0.2578125,0.7421875,31,0.2421875
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,36,128,34,0.265625,0.734375,33,0.2578125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,38,128,34,0.265625,0.734375,34,0.265625
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,40,128,37,0.2890625,0.7109375,35,0.2734375
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,42,128,39,0.3046875,0.6953125,37,0.2890625
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,44,128,41,0.3203125,0.6796875,39,0.3046875
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,46,128,41,0.3203125,0.6796875,41,0.3203125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,48,128,41,0.3203125,0.6796875,41,0.3203125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,50,128,41,0.3203125,0.6796875,41,0.3203125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,52,128,42,0.328125,0.671875,42,0.328125
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,54,128,43,0.3359375,0.6640625,43,0.3359375
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,56,128,43,0.3359375,0.6640625,43,0.3359375
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,58,128,44,0.34375,0.65625,43,0.3359375
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,60,128,44,0.34375,0.65625,44,0.34375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,2,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,4,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,6,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,8,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,10,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,12,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,14,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,16,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,18,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,20,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,22,128,3,0.0234375,0.9765625,1,0.0078125
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,24,128,6,0.046875,0.953125,5,0.0390625
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,26,128,11,0.0859375,0.9140625,11,0.0859375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,28,128,13,0.1015625,0.8984375,13,0.1015625
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,30,128,19,0.1484375,0.8515625,16,0.125
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,32,128,21,0.1640625,0.8359375,19,0.1484375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,34,128,22,0.171875,0.828125,21,0.1640625
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,36,128,25,0.1953125,0.8046875,22,0.171875
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,38,128,27,0.2109375,0.7890625,25,0.1953125
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,40,128,28,0.21875,0.78125,28,0.21875
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,42,128,31,0.2421875,0.7578125,30,0.234375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,44,128,31,0.2421875,0.7578125,31,0.2421875
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,46,128,32,0.25,0.75,31,0.2421875
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,48,128,33,0.2578125,0.7421875,33,0.2578125
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,50,128,34,0.265625,0.734375,33,0.2578125
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,52,128,35,0.2734375,0.7265625,35,0.2734375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,54,128,37,0.2890625,0.7109375,35,0.2734375
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,56,128,38,0.296875,0.703125,37,0.2890625
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,58,128,40,0.3125,0.6875,39,0.3046875
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,60,128,40,0.3125,0.6875,40,0.3125
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,2,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,4,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,6,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,8,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,10,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,12,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,14,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,16,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,18,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,20,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,22,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,24,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,26,128,0,0.0,1.0,0,0.0
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,28,128,3,0.0234375,0.9765625,1,0.0078125
