attempt_id,phase,round_id,execution_position,position_within_round,condition_id,scene_id,inflation_mm,planning_success,failure_reason,planning_reported_solve_time_s,planning_reported_total_time_s,measured_wall_time_s,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad,status,error
round_03__position_01__multiscene_candidate_005__inflation_020mm,measured,3,41,1,multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,True,,0.025924608230590823,0.03447091293334961,0.03490309500193689,"[41,7]",True,0.0,0.0,0.9647320508956909,0.9647320508956909,0.0,True,True,completed,
round_03__position_02__multiscene_candidate_006__inflation_000mm,measured,3,42,2,multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,True,,0.02640924835205078,0.035332096099853515,0.035769248999713454,"[41,7]",True,0.0,0.0,0.9438737630844116,0.9438737630844116,0.0,True,True,completed,
round_03__position_03__multiscene_candidate_006__inflation_005mm,measured,3,43,3,multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,True,,0.02623689556121826,0.034814785003662106,0.03522930399776669,"[41,7]",True,0.0,0.0,0.9442387819290161,0.9442387819290161,0.0,True,True,completed,
round_03__position_04__multiscene_candidate_006__inflation_010mm,measured,3,44,4,multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,True,,0.025758399963378906,0.034184032440185544,0.0345920589970774,"[41,7]",True,0.0,0.0,0.9451422691345215,0.9451422691345215,0.0,True,True,completed,
round_03__position_05__multiscene_candidate_006__inflation_015mm,measured,3,45,5,multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,True,,0.026265888214111327,0.03549055862426758,0.03601850799896056,"[41,7]",True,0.0,0.0,0.9466080665588379,0.9466080665588379,0.0,True,True,completed,
round_03__position_06__multiscene_candidate_006__inflation_020mm,measured,3,46,6,multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,True,,0.025807007789611813,0.034915328979492184,0.03537548100575805,"[41,7]",True,0.0,0.0,0.9485822916030884,0.9485822916030884,0.0,True,True,completed,
round_03__position_07__formal_baseline_v1__inflation_000mm,measured,3,47,7,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,,0.0263328971862793,0.035296257019042966,0.035731769996345975,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True,completed,
round_03__position_08__formal_baseline_v1__inflation_005mm,measured,3,48,8,formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,True,,0.02613036823272705,0.0352149772644043,0.035635524000099394,"[41,7]",True,0.0,0.0,0.9439100027084351,0.9439100027084351,0.0,True,True,completed,
round_03__position_09__formal_baseline_v1__inflation_010mm,measured,3,49,9,formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,True,,0.02591036796569824,0.03457603073120117,0.0350026340020122,"[41,7]",True,0.0,0.0,0.9444064497947693,0.9444064497947693,0.0,True,True,completed,
round_03__position_10__formal_baseline_v1__inflation_015mm,measured,3,50,10,formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,True,,0.03717203235626221,0.04902838516235351,0.04944335999607574,"[41,7]",True,0.0,0.0,0.9454147815704346,0.9454147815704346,0.0,True,True,completed,
round_03__position_11__formal_baseline_v1__inflation_020mm,measured,3,51,11,formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,True,,0.02548585605621338,0.035066017150878905,0.03547090699430555,"[41,7]",True,0.0,0.0,0.9469339847564697,0.9469339847564697,0.0,True,True,completed,
round_03__position_12__multiscene_candidate_001__inflation_000mm,measured,3,52,12,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,,0.02586438274383545,0.03482624053955078,0.03524534499592846,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True,completed,
round_03__position_13__multiscene_candidate_001__inflation_005mm,measured,3,53,13,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,,0.028573184013366698,0.03769571304321289,0.03812535500037484,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True,completed,
round_03__position_14__multiscene_candidate_001__inflation_010mm,measured,3,54,14,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,,0.025631392478942867,0.035008415222167966,0.035446485999273136,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True,completed,
round_03__position_15__multiscene_candidate_001__inflation_015mm,measured,3,55,15,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,,0.02768940830230713,0.03644348907470703,0.03690516000642674,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True,completed,
round_03__position_16__multiscene_candidate_001__inflation_020mm,measured,3,56,16,multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,True,,0.02599964714050293,0.034459648132324217,0.03487454699643422,"[41,7]",True,0.0,0.0,0.947810709476471,0.947810709476471,0.0,True,True,completed,
round_03__position_17__multiscene_candidate_005__inflation_000mm,measured,3,57,17,multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,True,,0.02654243183135986,0.03699398422241211,0.037411901001178194,"[41,7]",True,0.0,0.0,0.9438865780830383,0.9438865780830383,0.0,True,True,completed,
round_03__position_18__multiscene_candidate_005__inflation_005mm,measured,3,58,18,multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,True,,0.036254432678222655,0.04804092788696289,0.048453622999659274,"[41,7]",True,0.0,0.0,0.9450989365577698,0.9450989365577698,0.0,True,True,completed,
round_03__position_19__multiscene_candidate_005__inflation_010mm,measured,3,59,19,multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,True,,0.026017632484436035,0.03440832138061523,0.034818091000488494,"[41,7]",True,0.0,0.0,0.9485982656478882,0.9485982656478882,0.0,True,True,completed,
round_03__position_20__multiscene_candidate_005__inflation_015mm,measured,3,60,20,multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,True,,0.02723516845703125,0.0358449592590332,0.03625966399704339,"[41,7]",True,0.0,0.0,0.9550252556800842,0.9550252556800842,0.0,True,True,completed,
round_04__position_01__formal_baseline_v1__inflation_005mm,measured,4,61,1,formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,True,,0.027808959960937497,0.03788380813598633,0.038353415999154095,"[41,7]",True,0.0,0.0,0.9439100027084351,0.9439100027084351,0.0,True,True,completed,
round_04__position_02__formal_baseline_v1__inflation_010mm,measured,4,62,2,formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,True,,0.027705344200134277,0.03629363250732422,0.03671619699889561,"[41,7]",True,0.0,0.0,0.9444064497947693,0.9444064497947693,0.0,True,True,completed,
round_04__position_03__formal_baseline_v1__inflation_015mm,measured,4,63,3,formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,True,,0.03643203163146973,0.04796928024291992,0.04838402599852998,"[41,7]",True,0.0,0.0,0.9454147815704346,0.9454147815704346,0.0,True,True,completed,
round_04__position_04__formal_baseline_v1__inflation_020mm,measured,4,64,4,formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,True,,0.02547427272796631,0.03504947280883789,0.03551178800262278,"[41,7]",True,0.0,0.0,0.9469339847564697,0.9469339847564697,0.0,True,True,completed,
round_04__position_05__multiscene_candidate_001__inflation_000mm,measured,4,65,5,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,,0.027686975479125978,0.03643699264526367,0.03694594300031895,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True,completed,
round_04__position_06__multiscene_candidate_001__inflation_005mm,measured,4,66,6,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,,0.02718614387512207,0.03563631820678711,0.036044707005203236,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True,completed,
round_04__position_07__multiscene_candidate_001__inflation_010mm,measured,4,67,7,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,,0.026144672393798828,0.034602592468261716,0.03501367399439914,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True,completed,
round_04__position_08__multiscene_candidate_001__inflation_015mm,measured,4,68,8,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,,0.026466464042663576,0.03534396743774414,0.035785282998404,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True,completed,
round_04__position_09__multiscene_candidate_001__inflation_020mm,measured,4,69,9,multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,True,,0.027031328201293947,0.035609600067138675,0.03603377199760871,"[41,7]",True,0.0,0.0,0.947810709476471,0.947810709476471,0.0,True,True,completed,
round_04__position_10__multiscene_candidate_005__inflation_000mm,measured,4,70,10,multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,True,,0.02606732845306397,0.03478531265258789,0.03520120999746723,"[41,7]",True,0.0,0.0,0.9438865780830383,0.9438865780830383,0.0,True,True,completed,
round_04__position_11__multiscene_candidate_005__inflation_005mm,measured,4,71,11,multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,True,,0.036003422737121586,0.04739395141601563,0.047808199997234624,"[41,7]",True,0.0,0.0,0.9450989365577698,0.9450989365577698,0.0,True,True,completed,
