attempt_id,round_id,execution_position,condition_id,scene_id,inflation_mm,planning_success,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad
round_05__position_03__multiscene_candidate_005__inflation_000mm,5,83,multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,True,"[41,7]",True,0.0,0.0,0.9438865780830383,0.9438865780830383,0.0,True,True
round_05__position_04__multiscene_candidate_005__inflation_005mm,5,84,multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,True,"[41,7]",True,0.0,0.0,0.9450989365577698,0.9450989365577698,0.0,True,True
round_05__position_05__multiscene_candidate_005__inflation_010mm,5,85,multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,True,"[41,7]",True,0.0,0.0,0.9485982656478882,0.9485982656478882,0.0,True,True
round_05__position_06__multiscene_candidate_005__inflation_015mm,5,86,multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,True,"[41,7]",True,0.0,0.0,0.9550252556800842,0.9550252556800842,0.0,True,True
round_05__position_07__multiscene_candidate_005__inflation_020mm,5,87,multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,True,"[41,7]",True,0.0,0.0,0.9647320508956909,0.9647320508956909,0.0,True,True
round_05__position_08__multiscene_candidate_006__inflation_000mm,5,88,multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,True,"[41,7]",True,0.0,0.0,0.9438737630844116,0.9438737630844116,0.0,True,True
round_05__position_09__multiscene_candidate_006__inflation_005mm,5,89,multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,True,"[41,7]",True,0.0,0.0,0.9442387819290161,0.9442387819290161,0.0,True,True
round_05__position_10__multiscene_candidate_006__inflation_010mm,5,90,multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,True,"[41,7]",True,0.0,0.0,0.9451422691345215,0.9451422691345215,0.0,True,True
round_05__position_11__multiscene_candidate_006__inflation_015mm,5,91,multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,True,"[41,7]",True,0.0,0.0,0.9466080665588379,0.9466080665588379,0.0,True,True
round_05__position_12__multiscene_candidate_006__inflation_020mm,5,92,multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,True,"[41,7]",True,0.0,0.0,0.9485822916030884,0.9485822916030884,0.0,True,True
